"difference between followed & following","real","fake"
-7400,0,310
-7300,2,801
-7200,4,1135
-7100,4,926
-7000,8,575
-6900,5,423
-6800,22,431
-6700,22,374
-6600,17,306
-6500,34,290
-6400,44,307
-6300,32,459
-6200,45,305
-6100,47,220
-6000,43,192
-5900,38,162
-5800,44,158
-5700,48,143
-5600,41,128
-5500,47,116
-5400,41,114
-5300,41,88
-5200,50,82
-5100,36,92
-5000,49,80
-4900,45,102
-4800,44,81
-4700,40,80
-4600,26,90
-4500,40,98
-4400,37,91
-4300,48,86
-4200,51,105
-4100,41,87
-4000,42,92
-3900,43,91
-3800,37,95
-3700,62,96
-3600,63,91
-3500,69,98
-3400,75,106
-3300,51,99
-3200,63,115
-3100,61,107
-3000,73,120
-2900,62,105
-2800,92,130
-2700,81,133
-2600,76,137
-2500,87,142
-2400,87,161
-2300,98,169
-2200,107,176
-2100,116,173
-2000,136,205
-1900,144,223
-1800,157,198
-1700,163,232
-1600,151,249
-1500,191,293
-1400,238,299
-1300,223,357
-1200,238,362
-1100,310,408
-1000,300,430
-900,354,470
-800,430,541
-700,512,617
-600,546,728
-500,731,850
-400,982,936
-300,1226,992
-200,1651,1183
-100,2441,1766
0,3754,1906
100,2968,491
200,1189,189
300,779,127
400,561,116
500,397,66
600,282,58
700,237,41
800,165,31
900,145,28
1000,120,17
1100,116,14
1200,91,18
1300,68,14
1400,72,16
1500,48,13
1600,46,8
1700,45,13
1800,51,14
1900,30,15
2000,35,6
2100,29,8
2200,28,4
2300,23,8
2400,33,13
2500,20,6
2600,21,7
2700,20,3
2800,22,9
2900,21,1
3000,14,6
3100,24,5
3200,14,2
3300,21,2
3400,16,3
3500,17,4
3600,25,3
3700,15,2
3800,17,2
3900,7,3
4000,10,2
4100,10,4
4200,5,4
4300,4,1
4400,16,2
4500,7,5
4600,16,5
4700,12,3
4800,10,5
4900,16,3
5000,3,5
5100,12,2
5200,8,4
5300,5,3
5400,10,0
5500,9,1
5600,8,0
5700,8,1
5800,6,1
5900,6,0
6000,6,3
6100,7,1
6200,9,1
6300,5,1
6400,3,0
6500,3,4
6600,2,3
6700,1,0
6800,7,0
6900,3,1
7000,2,2
7100,9,2
7200,6,0
7300,5,2
7400,3,1
7500,3,3
7600,3,2
7700,3,4
7800,2,1
7900,6,2
8000,3,3
8100,4,1
8200,6,2
8300,7,2
8400,8,2
8500,4,3
8600,6,1
8700,3,0
8800,7,1
8900,4,0
9000,4,1
9100,4,0
9200,6,1
9300,4,0
9400,5,3
9500,4,0
9600,4,2
9700,5,1
9800,2,1
9900,3,2
10000,3,0
10100,3,1
10200,2,0
10300,3,0
10400,3,1
10500,1,0
10600,0,1
10700,2,1
10800,4,0
10900,9,0
11000,3,0
11100,0,2
11200,4,0
11300,2,1
11400,2,1
11500,1,0
11600,4,2
11700,3,1
11800,4,0
11900,2,1
12000,1,0
12100,1,0
12200,2,0
12300,5,0
12400,1,2
12500,1,2
12700,2,1
12800,1,2
12900,2,1
13000,1,0
13100,2,0
13200,4,1
13300,2,0
13400,1,0
13500,2,0
13600,2,1
13700,0,1
13800,2,0
13900,3,1
14000,2,1
14100,0,1
14200,2,1
14300,2,0
14400,1,1
14500,3,0
14600,1,0
14700,3,0
14800,2,1
14900,5,0
15000,3,0
15100,2,1
15200,5,1
15300,1,0
15400,0,2
15800,1,0
15900,0,1
16000,1,1
16300,1,1
16500,2,0
16600,1,0
16700,0,2
16900,0,2
17000,1,0
17100,1,1
17300,1,1
17400,0,1
17500,1,0
17600,1,1
17700,1,0
17800,1,0
17900,1,0
18000,3,0
18100,0,1
18500,1,1
18700,1,0
18800,1,0
19100,1,1
19300,1,0
19400,1,0
19500,1,0
19600,1,0
19700,1,0
19800,1,1
19900,1,0
20000,0,1
20100,0,1
20200,0,1
20300,1,0
20500,4,0
20600,1,1
20900,1,1
21000,1,0
21200,1,0
21300,2,0
21400,2,0
22000,3,1
22400,1,0
22500,1,0
22700,0,1
23000,2,0
23100,0,1
23300,1,1
23500,0,1
23800,0,1
23900,1,0
24200,1,0
24300,1,0
24400,1,0
24700,3,1
24800,1,0
25100,1,2
25500,0,1
25700,1,0
25900,0,1
26300,1,0
26600,0,1
26800,0,1
26900,1,1
27000,1,0
27300,1,0
27600,1,0
27700,2,1
27900,1,0
28200,1,0
28900,1,0
29000,1,1
29100,2,0
29300,1,0
29400,1,0
30300,1,0
30400,1,0
30600,1,0
31200,1,0
31300,1,0
31500,0,2
31600,1,1
31900,1,0
32000,1,0
32100,2,0
32500,2,0
32800,2,0
33000,2,0
33300,1,0
33500,1,1
34100,1,0
34300,1,0
34400,0,1
34500,1,0
34600,0,1
34900,1,0
35800,1,0
36300,1,0
37000,1,0
38300,1,0
39000,1,0
39500,1,0
39800,1,0
40000,1,0
40500,1,0
40900,1,0
41100,1,0
42400,1,0
42500,1,0
43200,1,0
44000,1,0
44400,0,1
44900,1,0
45200,0,1
46800,1,0
47600,1,0
47900,1,0
48400,1,0
49500,1,0
49600,1,0
50100,1,0
50900,1,0
51100,1,0
51200,1,0
51400,1,0
52900,0,1
54000,0,1
55900,0,1
58100,1,0
58700,1,1
59700,1,0
60400,1,0
61400,0,1
63300,1,0
64400,1,0
64500,1,0
67000,1,1
67500,1,0
67600,1,0
67900,1,0
68800,1,0
68900,1,0
71500,1,0
72100,1,0
73200,1,0
73900,0,1
75900,1,2
80900,1,0
84400,1,0
84900,1,0
85800,0,1
91400,1,0
92000,0,1
98700,0,1
100800,2,0
101000,0,1
102000,1,0
103400,1,0
107200,1,0
109800,0,1
113200,1,0
115300,1,0
116100,1,0
117100,1,0
128000,1,0
129200,1,0
129900,1,0
153100,1,0
157600,0,1
171300,1,0
176600,1,0
195300,1,0
203400,1,0
223500,1,0
232800,0,1
244100,1,0
254000,1,0
272700,1,0
273100,1,0
312000,1,0
324000,1,0
329900,1,0
373900,1,0
379100,1,0
471000,1,0
705900,0,1
730600,1,0
854100,0,1
1898800,1,0
2399200,1,0
3898500,1,0
