"Engagement rate (Like)","real","fake"
0.0,362,4226
1.0,1514,2161
2.0,920,1932
3.0,810,1819
4.0,685,1557
5.0,692,1355
6.0,642,1159
7.0,582,1071
8.0,1084,903
9.0,1096,819
10.0,1076,725
11.0,1142,613
12.0,1106,516
13.0,1141,442
14.0,1029,417
15.0,1012,371
16.0,903,306
17.0,929,304
18.0,863,271
19.0,769,264
20.0,794,212
21.0,667,206
22.0,553,195
23.0,515,158
24.0,468,155
25.0,420,174
26.0,362,123
27.0,316,127
28.0,276,113
29.0,242,145
30.0,217,101
31.0,167,88
32.0,200,96
33.0,169,82
34.0,131,83
35.0,121,77
36.0,103,83
37.0,83,81
38.0,101,78
39.0,76,68
40.0,75,69
41.0,60,54
42.0,71,54
43.0,60,53
44.0,46,50
45.0,46,60
46.0,48,50
47.0,47,41
48.0,49,40
49.0,42,55
50.0,51,64
51.0,22,31
52.0,36,39
53.0,40,48
54.0,20,48
55.0,19,38
56.0,31,33
57.0,18,31
58.0,21,32
59.0,23,25
60.0,26,37
61.0,16,34
62.0,20,30
63.0,18,33
64.0,17,26
65.0,22,26
66.0,18,21
67.0,23,27
68.0,18,23
69.0,17,19
70.0,8,23
71.0,8,24
72.0,11,24
73.0,7,23
74.0,16,17
75.0,16,18
76.0,12,14
77.0,9,24
78.0,6,26
79.0,10,24
80.0,15,15
81.0,13,9
82.0,6,20
83.0,9,19
84.0,12,18
85.0,8,14
86.0,5,14
87.0,9,14
88.0,10,16
89.0,4,18
90.0,9,10
91.0,8,11
92.0,6,14
93.0,6,13
94.0,4,10
95.0,3,14
96.0,5,12
97.0,4,12
98.0,8,2
99.0,2,9
100.0,11,19
101.0,1,8
102.0,7,12
103.0,5,9
104.0,6,9
105.0,7,12
106.0,5,6
107.0,7,10
108.0,5,9
109.0,8,3
110.0,4,5
111.0,2,8
112.0,8,9
113.0,3,10
114.0,4,10
115.0,4,9
116.0,1,8
117.0,4,7
118.0,4,5
119.0,2,8
120.0,3,12
121.0,2,7
122.0,10,7
123.0,4,6
124.0,1,8
125.0,3,3
126.0,1,7
127.0,6,7
128.0,1,13
129.0,2,9
130.0,3,9
131.0,2,6
132.0,2,3
133.0,2,5
134.0,6,7
135.0,1,4
136.0,1,3
137.0,0,6
138.0,5,6
139.0,2,6
140.0,3,4
141.0,2,3
142.0,1,8
143.0,2,6
144.0,5,8
145.0,4,8
146.0,1,2
147.0,1,8
148.0,3,9
149.0,2,6
150.0,4,12
151.0,1,3
152.0,1,1
153.0,0,3
154.0,2,5
155.0,2,2
156.0,1,7
157.0,2,7
158.0,1,3
159.0,2,6
160.0,1,4
161.0,3,6
162.0,0,5
163.0,0,6
164.0,3,4
165.0,2,4
166.0,2,3
167.0,3,3
168.0,0,3
169.0,2,2
170.0,2,8
171.0,3,7
172.0,0,5
173.0,0,2
174.0,1,3
175.0,3,4
176.0,1,1
177.0,0,5
178.0,0,5
179.0,1,4
180.0,0,4
181.0,0,2
182.0,1,4
183.0,0,4
184.0,3,6
185.0,0,4
186.0,3,3
187.0,3,4
188.0,1,2
189.0,1,5
190.0,1,5
191.0,0,6
192.0,1,3
193.0,3,0
194.0,1,0
195.0,2,2
196.0,0,4
197.0,0,3
198.0,1,6
199.0,1,2
200.0,5,9
201.0,2,3
202.0,0,4
203.0,2,4
204.0,1,1
205.0,0,2
206.0,0,5
207.0,1,2
208.0,0,2
209.0,2,2
210.0,0,1
211.0,0,1
212.0,3,6
213.0,0,3
214.0,0,5
215.0,1,3
217.0,2,2
218.0,1,3
219.0,0,1
220.0,2,5
221.0,0,5
222.0,0,1
223.0,0,5
224.0,2,2
225.0,1,2
226.0,2,1
227.0,1,0
228.0,1,2
229.0,0,1
230.0,0,1
231.0,0,6
232.0,0,3
233.0,0,3
234.0,0,3
235.0,0,3
236.0,0,3
237.0,2,5
238.0,0,2
239.0,0,4
240.0,0,2
241.0,2,2
242.0,1,1
243.0,0,1
244.0,0,2
245.0,2,2
246.0,0,3
247.0,1,2
248.0,1,3
249.0,0,1
250.0,1,2
251.0,1,0
252.0,0,6
253.0,1,3
254.0,1,2
255.0,0,2
257.0,0,1
258.0,0,1
259.0,0,1
261.0,0,1
262.0,2,3
263.0,1,0
264.0,0,1
265.0,0,1
266.0,0,2
267.0,2,1
268.0,0,1
270.0,0,2
274.0,0,2
277.0,0,1
278.0,0,3
279.0,0,3
280.0,4,1
281.0,2,1
282.0,0,3
283.0,0,3
284.0,1,1
285.0,0,1
286.0,0,1
287.0,0,2
289.0,0,1
290.0,2,0
291.0,0,1
292.0,0,1
293.0,0,1
294.0,0,1
297.0,0,1
298.0,0,1
299.0,2,1
300.0,1,4
302.0,0,1
303.0,0,1
304.0,0,1
306.0,0,1
307.0,0,2
309.0,0,3
310.0,0,1
312.0,0,3
316.0,0,1
317.0,0,3
318.0,0,1
321.0,1,1
322.0,1,1
323.0,0,2
324.0,1,1
325.0,0,2
326.0,0,1
327.0,0,1
328.0,1,1
329.0,0,1
331.0,1,0
332.0,0,1
333.0,0,1
334.0,0,1
335.0,0,2
337.0,1,1
341.0,0,1
342.0,0,1
343.0,1,0
344.0,1,1
345.0,1,1
347.0,0,1
348.0,0,1
349.0,0,1
350.0,1,1
352.0,0,2
353.0,0,1
358.0,0,2
359.0,0,1
360.0,0,1
361.0,0,3
362.0,1,1
363.0,0,1
364.0,0,1
369.0,0,1
370.0,0,2
371.0,0,2
375.0,0,1
377.0,1,2
378.0,0,3
379.0,0,1
381.0,0,1
382.0,0,1
384.0,1,1
385.0,1,1
386.0,0,1
389.0,1,0
390.0,1,0
392.0,0,1
393.0,0,1
394.0,0,1
398.0,0,1
400.0,1,1
407.0,1,3
409.0,0,1
410.0,0,1
413.0,1,1
416.0,0,2
417.0,0,1
420.0,0,1
422.0,1,1
423.0,0,1
424.0,0,1
425.0,0,2
426.0,0,1
427.0,1,0
430.0,0,1
432.0,0,1
435.0,0,1
441.0,0,2
446.0,0,1
447.0,0,1
449.0,0,1
453.0,0,1
457.0,0,1
458.0,0,1
459.0,0,3
460.0,0,1
462.0,1,0
472.0,0,1
475.0,1,0
478.0,0,1
480.0,0,1
481.0,0,1
482.0,0,1
494.0,0,1
500.0,3,0
501.0,0,1
502.0,0,2
514.0,0,1
518.0,0,1
519.0,0,2
522.0,0,2
523.0,0,1
527.0,0,1
532.0,1,0
534.0,0,1
538.0,0,1
542.0,0,1
550.0,1,0
555.0,0,1
560.0,2,0
562.0,0,2
563.0,0,1
567.0,0,1
575.0,0,1
576.0,0,1
600.0,1,0
607.0,0,2
616.0,0,1
637.0,0,1
641.0,0,1
643.0,0,1
645.0,0,1
654.0,0,1
670.0,1,0
678.0,1,0
680.0,0,1
685.0,0,1
687.0,0,1
688.0,0,1
690.0,0,1
693.0,0,1
698.0,0,1
700.0,0,1
706.0,0,1
717.0,1,0
719.0,1,0
720.0,0,1
721.0,0,1
740.0,0,1
742.0,0,1
760.0,1,0
772.0,0,1
775.0,0,1
800.0,2,0
829.0,0,1
872.0,0,1
888.0,0,1
933.0,0,1
1004.0,0,1
1010.0,0,1
1020.0,0,1
1058.0,0,1
1060.0,1,0
1067.0,0,1
1068.0,0,1
1225.0,0,1
1230.0,0,1
1301.0,0,1
1347.0,0,1
1418.0,0,1
1424.0,0,1
1550.0,1,0
1553.0,0,1
1575.0,0,1
1598.0,0,1
1675.0,0,1
1893.0,0,1
2060.0,1,0
2106.0,0,1
2292.0,0,1
2296.0,0,1
2393.0,0,1
4528.0,0,1
5300.0,0,1
5500.0,0,1
26650.0,0,1
